STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,CZ,Czechia,2012,,12.814,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,CZ,Czechia,2013,,13.927,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,CZ,Czechia,2014,,15.074,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,CZ,Czechia,2015,,15.07,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,CZ,Czechia,2016,,14.926,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,CZ,Czechia,2017,,14.799,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,CZ,Czechia,2018,,15.139,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,CZ,Czechia,2019,,16.239,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,CZ,Czechia,2020,,17.303,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,CZ,Czechia,2021,,17.614,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,CZ,Czechia,2022,,18.123,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,CZ,Czechia,2023,,18.586,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DE,Germany,2004,,6.207,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DE,Germany,2005,,7.167,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DE,Germany,2006,,8.466,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DE,Germany,2007,,10.039,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DE,Germany,2008,,10.072,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DE,Germany,2009,,10.851,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DE,Germany,2010,,11.667,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DE,Germany,2011,,12.47,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DE,Germany,2012,,13.549,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DE,Germany,2013,,13.757,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DE,Germany,2014,,14.381,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DE,Germany,2015,,14.901,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DE,Germany,2016,,14.885,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DE,Germany,2017,,15.472,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DE,Germany,2018,,16.66,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DE,Germany,2019,,17.266,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DE,Germany,2020,,19.09,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DE,Germany,2021,,19.300,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DE,Germany,2022,,20.814,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DE,Germany,2023,,21.562,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DK,Denmark,2004,,14.839,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DK,Denmark,2005,,15.955,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DK,Denmark,2006,,16.332,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DK,Denmark,2007,,17.747,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DK,Denmark,2008,,18.543,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DK,Denmark,2009,,19.948,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DK,Denmark,2010,,21.888,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DK,Denmark,2011,,23.389,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DK,Denmark,2012,,25.465,,,,,
dataflow,ESTAT:NRG_IND_REN(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy sources,PC,Percentage,DK,Denmark,2013,,27.173,,,,,
